Timestamp,Workshop,Paper title,Link to article,Author-1,Author-1_affiliation,Author-1_country,Author-2,Author-2_affiliation,Author-2_country,Author-3,Author-3_affiliation,Author-3_country,Author-4,Author-4_affiliation,Author-4_country,Author-5,Author-5_affiliation,Author-5_country,Author-6,Author-6_affiliation,Author-6_country,Author-7,Author-7_affiliation,Author-7_country,Paper abstract,Paper Keyword,Paper Categories
12/26/2020 20:05:23,2008,Weaving SIOC into the Web of Linked Data,http://events.linkeddata.org/ldow2008/papers/01-bojars-passant-weaving-sioc.pdf,Uldis Bojars,Digital Enterprise Research Institute,Ireland,Alexandre Passant,Electricité de France, France,Richard Cyganiak,Digital Enterprise Research Institute , Ireland,John Breslin,Digital Enterprise Research Institute , Ireland,,,,,,,,,,"Social media sites can act as a rich source of large amounts
of data by letting anyone easily create content on the Web.
The SIOC ontology and tools developed for it allow us to express this information as interlinked RDF data. This paper
describes approaches for making this Social Web information
an integral part of the Web of Linked Data. ",,
12/26/2020 20:14:32,2008,"SEMANTIC MARC, MARC 21 AND THE SEMANTIC WEB ",http://events.linkeddata.org/ldow2008/papers/02-styles-ayers-semantic-marc.pdf,Rob Styles,Knights Court, United Kingdom,Danny Ayers,Knights Court, United Kingdom,Nadeem Shabir,Knights Court, United Kingdom,,,,,,,,,,,,,"The MARC standard for exchanging bibliographic data has been
in use for several decades and is used by major libraries
worldwide. This paper discusses the possibilities of representing
the most prevalent form of MARC, MARC21, as RDF for the
Semantic Web, and aims to understand the tradeoffs, if any,
resulting from transforming the data. Critically our approach goes
beyond a simple transliteration of the MARC21 record syntax to
develop rich semantic descriptions of the varied things which may
be described using bibliographic records. We present an
algorithmic approach for consistently generating URIs from
textual data, discuss the algorithmic matching of author names
and suggest how RDF generated from MARC records may be
linked to other data sources on the Web.","MARC, MARC21, RDF, Semantic Web, Data Conversion, Inferred Semantics. ",
12/26/2020 20:17:15,2008,The OAI2LOD Server: Exposing OAI-PMH Metadata as Linked Data,http://events.linkeddata.org/ldow2008/papers/03-haslhofer-schandl-oai2lod-server.pdf,Bernhard Haslh,University of Vienna, Austria,Bernhard Schandl,University of Vienna, Austria,,,,,,,,,,,,,,,,"Many institutions grant access to their metadata repositories
via the Open Archives Initiative Protocol for Metadata Harvesting (OAI-PMH). However, this protocol has two significant drawbacks: it does not make its resources accessible via
dereferencable URIs, and it provides only restricted means
of selective access to metadata. The OAI2LOD Server handles these shortcomings by republishing metadata originating from an OAI-PMH endpoint according to the principles
of Linked Data. As the ongoing OAI-ORE specification process shows, these principles are gaining growing importance
also in the digital libraries domain.",,
12/26/2020 20:20:14,2008,A Case Study on Linked Data Generation and Consumption,http://events.linkeddata.org/ldow2008/papers/04-li-zhao-linked-data-generation.pdf,Jianqiang LI,NEC Laboratories, China,Yu ZHAO,NEC Laboratories, China,,,,,,,,,,,,,,,,"The availability of large amounts of interlinked semantic data is a
fundamental prerequisite of the Semantic Web. At present, almost
all the usable ontological data is built manually or by directly
transforming certain (semi-)structured data sources into certain
formats of semantic data. To solve the ‚Äúisolated data island‚Äù
problem of the Semantic Web caused by this situation, the
Linking Open Data initiative was launched to unite these machine
readable datasets as a Web of Data. In this paper, an alternative
method to make a contribution to this trend is proposed. By
extracting the linked data from the existing Web of Documents in
an automatic way, the inherent statements implied by the
hyperlinks can be made available on the Web. This realizes the
maximized reuse of the current Web (In most cases, the current
Web is rendered as Web of Documents) and provides a bridge
between the Web of Documents and the Web of Data. An
experimental study utilizing the resultant linked data for Small
Web search is introduced, in which the ontological information
about the webpages serves as the metadata and this provides the
potential to enhance the web search quality. The results of this
study show that, compared with the existing solutions, the
precision of Small Web search is significantly improved.","Linked Data, Semantic Web, Ontology, Metadata, Web Mining",H.3.3 [Information Storage and Retrieval]: Information Search and Retrieval
12/26/2020 20:25:11,2008,"SparqPlug: Generating Linked Data from Legacy HTML, SPARQL and the DOM",http://events.linkeddata.org/ldow2008/papers/05-coetzee-heath-sparqplug.pdf,Peter Coetzee,Imperial College London, United Kingdom,Tom Heath,Knights Court, United Kingdom,Enrico Motta,The Open University, United Kingdom,,,,,,,,,,,,,"The availability of linked RDF data remains a significant barrier to
the realisation of a Semantic Web. In this paper we present SparqPlug, an approach that uses the SPARQL query language and the
HTML Document Object Model to convert legacy HTML data sets
into RDF. This framework improves upon existing approaches in
a number of ways. For example, it allows the DOM to be queried
using the full flexibility of SPARQL and makes converted data automatically available in the Semantic Web. We outline the process
of batch conversion to RDF using SparqPlug and illustrate this with
a case study. The paper concludes with an examination of factors
affecting SparqPlug‚Äôs performance across various forms of HTML
data.","RDF, SPARQL, DOM, HTML, Conversion, Linked Data, Semantic Web, Data Mining",H.3.1 [Information Storage And Retrieval]: Content Analysis and Indexing
12/26/2020 20:27:45,2008,Building Linked Data For Both Humans and Machines,http://events.linkeddata.org/ldow2008/papers/06-halb-raimond-building-linked-data.pdf,Wolfgang Halb,Institute of Information Systems & Information Management, Austria,Yves Raimond,Centre for Digital Music, United Kingdom,Michael Hausenblas,Institute of Information Systems & Information Management, Austria,,,,,,,,,,,,,"In this paper we describe our experience with building the
riese dataset, an interlinked, RDF-based version of the Eurostat data, containing statistical data about the European
Union. The riese dataset (http://riese.joanneum.at), aims
at serving roughly 3 billion RDF triples, along with millions of high-quality interlinks. Our contribution is twofold:
Firstly, we suggest using RDFa as the main deployment
mechanism, hence serving both humans and machines to
effectively and efficiently explore and use the dataset. Secondly, we introduce a new way of enriching the dataset
with high-quality links: the User Contributed Interlinking,
a Wiki-style way of adding semantic links to data pages.","Linked data, Semantic Web, XHTML+RDFa, User Contributed Interlinking",H.4 [Information Systems Applications]: Miscellaneous 
12/26/2020 20:30:44,2008,Provenance and Linked Data in Biological Data Webs,http://events.linkeddata.org/ldow2008/papers/07-zhao-klyne-provenance-linked-data.pdf,Jun Zhao,Provenance and Linked Data in Biological Data Webs, United Kingdom,Graham Klyne,Provenance and Linked Data in Biological Data Webs, United Kingdom,David Shotton,Provenance and Linked Data in Biological Data Webs, United Kingdom,,,,,,,,,,,,,"To created a linked data web of heterogeneous biological
data resources, we need not only to define and create the
alignment between related data resources but also to express the knowledge about why data items from different
sources are linked with each other and how each data link
has evolved, so that scientists can trust the data links provided by the data web. This paper highlights the importance
of keeping provenance information about the links between
data items from different sources, and proposes the use of
named graphs to make a provenance statement about each
pair of linked data items and each release of a data web.
","Data Web, Named Graphs, Provenance, RDF, Semantic Web, Trust",D.2.12 [Software Engineering]: Interoperability‚ÄîData mapping; H.3.5 [Information Storage And Retrieval]: Online Information Services
12/26/2020 20:33:13,2008,"OPEN DATA COMMONS, A LICENSE FOR OPEN DATA",http://events.linkeddata.org/ldow2008/papers/08-miller-styles-open-data-commons.pdf,Paul Miller,Knights Court, United Kingdom,Rob Styles,Knights Court, United Kingdom,Tom Heath,Knights Court, United Kingdom,,,,,,,,,,,,,"Attendees at the WWW2007 panel session on Open Data [1, 2]
will remember a wide-ranging discussion of the role that easily
accessible data could play in endeavors from scholarly publishing
[3] to the creation of canonical product catalogs [4]. The authors
argued there and subsequently [5] that an effective and flexible
licensing framework is needed in moving forward.
Paradoxically, we argue that you need to actively and consciously
assert your desire that third parties be able to use data you place
online in order for those ‚Äòvisible‚Äô and ‚Äòaccessible‚Äô data sets to be
utilized most effectively.
Significant progress has been made in the past twelve months,
with engagement [6] from Creative Commons [7, 8, 9] and others
[10] resulting in a license [11] and notion of ‚Äòcommunity
norms‚Äô [12] upon which all can build.","Open Data, Linked Open Data, Licensing, License, Creative Commons, Science Commons, Open Data Commons.","E.m [Data, Miscellaneous]"
12/26/2020 20:35:25,2008,Browser-based Semantic Mapping Tool for Linked Data in Semantic Web,http://events.linkeddata.org/ldow2008/papers/09-zhou-xu-mapping-tool.pdf,Chunying Zhou,College of Computer Science, China,Chengli Xu,College of Computer Science, China,Huajun Chen,College of Computer Science, China,Kingsley Idehen,OpenLink Software Inc, US,,,,,,,,,,"With the ever growing need of semantically linking data across
different domain, organizational and diplomacy boundaries using
RDF and OWL, one of the major obstacles impeding the
advancement of Semantic Web is the data availability. This paper
presents a browser-based semantic mapping tool for converting
linked data on the Web to be available for Semantic Web
applications. It is aiming at helping users define semantic
mapping from relational databases to RDF schemas. This tool
provides much easy-to-use functionality to facilitate users in this
definition work, such as drag-and-drop mapping, visualization
mapping, data source annotation, database server independent,
standard mapping language and shared ontology management. ","Ontology, Semantic Mapping, Relational Database, RDF, Linked Data, Semantic Web.",H.4.m [Information Systems Applications]: Miscellaneous
12/26/2020 20:38:02,2008,:me owl:sameAs flickr:33669349@N00,http://events.linkeddata.org/ldow2008/papers/10-passant-me-owl-same-as.pdf,Alexandre Passant,Université Paris, France,,,,,,,,,,,,,,,,,,,"In order to release the Social Semantic Web and solve dataportability issues, there is a need from Web 2.0 providers
to open their content and deliver it in a machine-readable
way. Modeling it with vocabularies such as FOAF, SIOC,
as well as reusing data from the Linked Data initiative like
DBpedia or GeoNames can help to achieve this task. The
goal of this demo is to showcase an RDF exporter for Flickr
profiles that acts such a way.
","Web 2.0, Linked Data, Social Networks, Data Portability, Flickr, FOAF, SIOC",
12/26/2020 20:48:05,2008,Tabulator Redux: Browsing and Writing Linked Data,http://events.linkeddata.org/ldow2008/papers/11-berners-lee-hollenbach-tabulator-redux.pdf,T Berners-Lee,MIT, US,J. Hollenbach,University of Southampton, United Kingdom,Kanghao Lu,University of Southampton, United Kingdom,J. Presbrey,University of Southampton, United Kingdom,E. Prud'ommeaux,MIT, US,mc schraefel,MIT, US,,,,"A first category of Semantic Web browsers was designed to
present a given dataset (an RDF graph) for perusal in various
forms. These include mSpace, Exhibit, and to a certain extent
Haystack. A second category tackled mechanisms and display
issues around presenting linked data gathered on the fly. These
include Tabulator, Oink, Disco, Open Link Software's Data
Browser, and Object Browser. The challenge of once that data is
gathered, how might it be edited, extended and annotated has so
far been left largely unaddressed. This is not surprising: there are a
number of steep challenges for determining how to support
editing information in the open web of linked data. These include
the representation of both the web of documents and the web of
things, and the relationships between them; ensuring the user is
aware of and has control over the social context such as licensing
and privacy of data being entered, and, on a web in which anyone
can say anything about anything, helping the user intuitively
select the things which they actually wish to see in a given
situation. There is also the view update problem: the difficulty of
reflecting user edits back through functions used to map web data
to a screen presentation. In the latest version of the Tabulator
project, described in this paper we have focused on providing the
write side of the readable/writable web. Our approach has been to
allow modification and addition of information naturally within
the browsing interface, and to relay changes to the server triple by
triple for least possible brittleness (there is no explicit 'save'
operation). Challenges that remain include the propagation of
changes by collaborators back to the interface to create a shared
editing system. To support writing across (semantic) Web
resources, our work has contributed several technologies,
including a HTTP/SPARQL/Update-based protocol between an
editor (or other system) and incrementally editable resources
stored in an open source, world-writable 'data wiki'. This begins
enabling the writable Semantic Web.","Tabulator, semantic web, read/write, provenance",H.3.5 Online Information Services: Web Based Services
12/26/2020 20:54:43,2008,Searching Semantic Web Objects Based on Class Hierarchies,http://events.linkeddata.org/ldow2008/papers/12-cheng-ge-searching-semantic-web-objects.pdf,Gong Cheng,Southeast University, China,Weiyi Ge,Southeast University, China,Honghan Wu,Southeast University, China,Yuzhong Qu,Southeast University, China,,,,,,,,,,"On the Semantic Web, objects can be identified by URIs and
described by using RDF. With more and more RDF data
published, object search on the Semantic Web is in demand
for browsing, reuse, and integration. We developed the Falcons system, a keyword-based search engine for the Semantic
Web. In this paper, we present the object search service provided by Falcons. For building an inverted index from query
terms to Semantic Web objects (SW objects), we present
a method to construct comprehensive textual description of
SW objects. Furthermore, SW objects are also indexed from
their classes and ancestor classes to support the class-based
query restriction. Especially, class subsumption reasoning
on multiple vocabularies on the Semantic Web is performed,
and a class recommendation technique is proposed to enable
hierarchically navigating classes. In addition, a summarization method for SW objects is devised to enable users to
browse the summaries of objects","Class Hierarchy, Indexing, Navigation, Search Engine, Summarization",H.3.1 [Information Storage and Retrieval]: Content Analysis and Indexing; H.3.3 [Information Storage and Retrieval]: Information Search and Retrieval
12/26/2020 20:56:42,2008,DBpedia Mobile: A Location-Enabled Linked Data Browser,http://events.linkeddata.org/ldow2008/papers/13-becker-bizer-dbpedia-mobile.pdf,Christian Becker,Freie Universitat Berlin, Germany,Christian Bizer,Freie Universitat Berlin, Germany,,,,,,,,,,,,,,,,"In this demonstration, we present DBpedia Mobile, a
location-centric DBpedia client application for mobile devices consisting of a map view and a Fresnel-based Linked
Data browser. The DBpedia project extracts structured
information from Wikipedia and publishes this information as Linked Data on the Web. The DBpedia dataset
contains information about 2.18 million things, including
almost 300,000 geographic locations. DBpedia is interlinked
with various other location-related datasets. Based on
the current GPS position of a mobile device, DBpedia
Mobile renders a map indicating nearby locations from the
DBpedia dataset. Starting from this map, users can explore
background information about locations and can navigate
into interlinked datasets. DBpedia Mobile demonstrates
that the DBpedia dataset can serve as a useful starting
point to ","Semantic Web, Linked Data, Geospatial Web, DBpedia, Location Based Applications",H.3.3 [Information Search and Retrieval]: Information filtering; H.5.4 [Hypertext/Hypermedia]: Navigation
12/26/2020 20:58:18,2008,Humboldt: Exploring Linked Data,http://events.linkeddata.org/ldow2008/papers/15-kobilarov-dickinson-humboldt-exploring.pdf,Georgi Kobilarov,Packard Labs, United Kingdom,Ian Dickinson,Packard Labs, United Kingdom,,,,,,,,,,,,,,,,"We present Humboldt, a novel user interface for browsing
RDF data. Current user interfaces for browsing RDF data
are reviewed. We argue that browsing tasks require both
a facet browser‚Äôs ability to select and process groups of resources at a time and a ‚Äôresource at a time‚Äô browser‚Äôs ability
to navigate anywhere in a dataset. We describe Humboldt
which combines these two features in a single coherent interface. Our approach is based on the operation of pivoting,
which enables the user to move the focus of a browsing from
one set of resources to a set of related resources. With repeated use of the pivot operation the user can browse anywhere in the data. We describe a preliminary evaluation of
our approach and discuss its implications for further development.","user interface, semantic web, faceted browsing, rdf, linked data",H5.2 [Information Interfaces and Presentation]: User Interfaces; H5.4 [Information Interfaces and Presentation]: Hypertext/Hypermedia
12/26/2020 21:00:01,2008,Browsing Linked Data with Fenfire,http://events.linkeddata.org/ldow2008/papers/14-hastrup-cyganiak-browsing-with-fenfire.pdf,Tuukka Hastrup,University of Jyväskylä, Finland,Richard Cyganiak,National University of Ireland, Ireland,Uldis Bojars,National University of Ireland, Ireland,,,,,,,,,,,,,"A wealth of information has recently become available as
browsable RDF data on the Web, but the selection of client
applications to interact with this Linked Data remains limited. We show how to browse Linked Data with Fenfire,
a Free and Open Source Software RDF browser and editor
that employs a graph view and focuses on an engaging and
interactive browsing experience. This sets Fenfire apart from
previous table- and outline-based Linked Data browsers.",,
12/26/2020 21:05:59,2008,zLinks: Semantic Framework for Invoking Contextual Linked Data,http://events.linkeddata.org/ldow2008/papers/16-bergman-giasson-zlinks-semantic-framework.pdf,Michael K. Bergman,Zitgist LLC, US,Frédérick Giasson,Zitgist LLC, Canada,,,,,,,,,,,,,,,,"This first-ever demonstration of the new zLinks plug-in shows
how any existing Web document link can be automatically
transformed into a portal to relevant Linked Data. Each existing
link disambiguates to its contextual and relevant subject concept
(SC) or named entity (NE). The SCs are grounded in the
OpenCyc knowledge base, supplemented by aliases and WordNet
synsets to aid disambiguation. The NEs are drawn from
Wikipedia as processed via YAGO, and other online fact-based
repositories. The UMBEL ontology basis to this framework
offers significant further advantages. The zLinks popup is
invoked only as desired via unobtrusive user interface cues. ","demo, Linked Data, zLinks, OpenCyc, Wikipedia, WordNet, YAGO, UMBEL. ","H.3.3 [Information Search and Retrieval]: Information filtering, Query formulation; H.5.4 [Hypertext/Hypermedia]: Navigation; H.5.2 [User Interfaces]: Interaction styles. "
12/26/2020 21:19:03,2008,n2Mate: Exploiting social capital to create a standards-rich semantic network,http://events.linkeddata.org/ldow2008/papers/17-peterson-cregan-n2mate-semantic-network.pdf,David Peterson,BoaB interactive, Australia,Anne Cregan,National ICT Australia, Australia,Rob Atkinson,CSIRO Land & Water Lucas Heights Research Laboratories, Australia,John Brisbin,BoaB interactive, Australia,,,,,,,,,,"A significant boost on the path towards a web of linked, open data
is the establishment and promotion of common semantic resources
including ontologies and other operationalised vocabularies, and
their instance data. Without consensus on these, we are
hamstrung by the famous ‚Äún-squared‚Äù mapping problem. In
addition, each vocabulary has its own associated attributes to do
with why it was developed, what purposes it is best suited for, and
how accurate and reliable it is at both a content and technical
level, but most of this information is opaque to the general
community.
Our theory is that it is the lack of socially-sensitised processes
highlighting who is using what and why, that have led to the
current unmanageable plethora of vocabularies, where it is far
easier to build your own vocabulary than try to find a suitable,
reliable existing one.
We therefore suggest that there is considerable value in the
development of an online facility that performs the function of
providing a space listing vocabulary and ontology resources with
their associated authority, governance and quality of service
attributes. Presenting this in a visual form and providing pivotable
search facilities enhances recognition and comprehension.
Additionally, and critically, the facility provides a focal point
where discourse communities can make authority claims, rate
vocabularies on various parameters, register their commitment to
or usage of particular vocabularies, and provide feedback on their
experiences. Through social interaction, we expect the most solid
and useful vocabularies to emerge and form a stable semantic
platform for content representation and interlinked knowledge.
Our strategy is to become sufficiently enmeshed in the native
information habits of people and their derivative institutions to
reveal and collect their standards-seeking needs and activities with
a minimum of effort on their part.
This paper describes a pilot facility testing the theory above.
Dubbed ‚Äún2Mate‚Äù, it is a novel exploitation of social networking
software to provide a lightweight and flexible platform for testing
the efficacy of leveraging social networks to link existing registers
and ‚Äûseed‚Äü an information space focussing on the use of standards
in online information management.
The paper uses examples from the Australian context to provide
clear illustration of the central arguments.
","Registers, vocabularies, standards, linking density, rdf graph, social networking, knowledge re-use, n2Mate, n-squared",
12/26/2020 21:31:18,2008,Automatic Interlinking of Music Datasets on the Semantic Web,http://events.linkeddata.org/ldow2008/papers/18-raimond-sutton-automatic-interlinking.pdf,Yves Raimond,"Queen Mary, University of London", United Kingdom,Christopher Sutton,"Queen Mary, University of London", United Kingdom,Mark Sandler,"Queen Mary, University of London", United Kingdom,,,,,,,,,,,,,"In this paper, we describe current efforts towards interlinking music-related datasets on the Web. We first explain
some initial interlinking experiences, and the poor results
obtained by taking a na¬®ƒ±ve approach. We then detail a particular interlinking algorithm, taking into account both the
similarities of web resources and of their neighbours. We
detail the application of this algorithm in two contexts: to
link a Creative Commons music dataset to an editorial one,
and to link a personal music collection to corresponding web
identifiers. The latter provides a user with personally meaningful entry points for exploring the web of data, and we
conclude by describing some concrete tools built to generate
and use such links.","Semantic-Web,Linked Data,Music",H.4 [Information Systems Applications]: Miscellaneous
12/26/2020 21:59:20,2008,URI Disambiguation in the Context of Linked Data ,http://events.linkeddata.org/ldow2008/papers/19-jaffri-glaser-uri-disambiguation.pdf,Afraz Jaffri,University of Southampton, United Kingdom,Hugh Glaser,University of Southampton, United Kingdom,Ian Millard,University of Southampton, United Kingdom,,,,,,,,,,,,,"The Linked Data initiative has given rise to an increasing number
of RDF datasets, many of which are freely accessible online.
These resources often arise as a result of database exports;
however sufficient consideration may not be given to the unseen
implications caused when they are used in the wider context of the
Semantic Web. This paper investigates two popular resources,
DBLP and DBpedia, and discusses whether the issues regarding
identity management and co-reference resolution have been
suitably addressed. We find that a large percentage of authors in
DBLP have been conflated, and that disambiguation pages have
been incorrectly linked using owl:sameAs within DBpedia.
Systems for dealing with these issues are presented, and directions
are given for future research. 
","Linked Data, URI, Co-reference ","H.3.5 [Information Systems]: Information Storage and Retrieval: Online Information Services ‚Äì data sharing, web-based services. "
