,Workshop,Paper title,Link to article,Author-1,Author-1_affiliation,Author-1_country,Author-2,Author-2_affiliation,Author-2_country,Author-3,Author-3_affiliation,Author-3_country,Author-4,Author-4_affiliation,Author-4_country,Author-5,Author-5_affiliation,Author-5_country,Author-6,Author-6_affiliation,Author-6_country,Author-7,Author-7_affiliation,Author-7_country,Paper abstract,Paper Keyword,Paper Categories,Normalised abstract,title,Number_of_authors,citation
0,2008,Weaving SIOC into the Web of Linked Data,http://events.linkeddata.org/ldow2008/papers/01-bojars-passant-weaving-sioc.pdf,Uldis Bojars,Digital Enterprise Research Institute,Ireland,Alexandre Passant,Electricit de France, France,Richard Cyganiak,Digital Enterprise Research Institute , Ireland,John Breslin,Digital Enterprise Research Institute , Ireland,,,,,,,,,,"Social media sites can act as a rich source of large amounts
of data by letting anyone easily create content on the Web.
The SIOC ontology and tools developed for it allow us to express this information as interlinked RDF data. This paper
describes approaches for making this Social Web information
an integral part of the Web of Linked Data. ",,,"['social', 'medium', 'site', 'act', 'rich', 'source', 'large', 'amount', 'data', 'letting', 'anyone', 'easily', 'create', 'content', 'web', 'sioc', 'ontology', 'tool', 'developed', 'allow', 'express', 'information', 'interlinked', 'rdf', 'data', 'paper', 'describes', 'approach', 'making', 'social', 'web', 'information', 'integral', 'part', 'web', 'linked', 'data']",weaving sioc into the web of linked data,4,43
1,2008,"SEMANTIC MARC, MARC 21 AND THE SEMANTIC WEB ",http://events.linkeddata.org/ldow2008/papers/02-styles-ayers-semantic-marc.pdf,Rob Styles,Knights Court, United Kingdom,Danny Ayers,Knights Court, United Kingdom,Nadeem Shabir,Knights Court, United Kingdom,,,,,,,,,,,,,"The MARC standard for exchanging bibliographic data has been
in use for several decades and is used by major libraries
worldwide. This paper discusses the possibilities of representing
the most prevalent form of MARC, MARC21, as RDF for the
Semantic Web, and aims to understand the tradeoffs, if any,
resulting from transforming the data. Critically our approach goes
beyond a simple transliteration of the MARC21 record syntax to
develop rich semantic descriptions of the varied things which may
be described using bibliographic records. We present an
algorithmic approach for consistently generating URIs from
textual data, discuss the algorithmic matching of author names
and suggest how RDF generated from MARC records may be
linked to other data sources on the Web.","MARC, MARC21, RDF, Semantic Web, Data Conversion, Inferred Semantics. ",,"['marc', 'standard', 'exchanging', 'bibliographic', 'data', 'ha', 'use', 'several', 'decade', 'used', 'major', 'library', 'worldwide', 'paper', 'discus', 'possibility', 'representing', 'prevalent', 'form', 'marc', 'marc21', 'rdf', 'semantic', 'web', 'aim', 'understand', 'tradeoff', 'resulting', 'transforming', 'data', 'critically', 'approach', 'go', 'beyond', 'simple', 'transliteration', 'marc21', 'record', 'syntax', 'develop', 'rich', 'semantic', 'description', 'varied', 'thing', 'may', 'described', 'using', 'bibliographic', 'record', 'present', 'algorithmic', 'approach', 'consistently', 'generating', 'uris', 'textual', 'data', 'discus', 'algorithmic', 'matching', 'author', 'name', 'suggest', 'rdf', 'generated', 'marc', 'record', 'may', 'linked', 'data', 'source', 'web']","semantic marc, marc 21 and the semantic web ",3,19
2,2008,The OAI2LOD Server: Exposing OAI-PMH Metadata as Linked Data,http://events.linkeddata.org/ldow2008/papers/03-haslhofer-schandl-oai2lod-server.pdf,Bernhard Haslh,University of Vienna, Austria,Bernhard Schandl,University of Vienna, Austria,,,,,,,,,,,,,,,,"Many institutions grant access to their metadata repositories
via the Open Archives Initiative Protocol for Metadata Harvesting (OAI-PMH). However, this protocol has two significant drawbacks: it does not make its resources accessible via
dereferencable URIs, and it provides only restricted means
of selective access to metadata. The OAI2LOD Server handles these shortcomings by republishing metadata originating from an OAI-PMH endpoint according to the principles
of Linked Data. As the ongoing OAI-ORE specification process shows, these principles are gaining growing importance
also in the digital libraries domain.",,,"['many', 'institution', 'grant', 'access', 'metadata', 'repository', 'via', 'open', 'archive', 'initiative', 'protocol', 'metadata', 'harvesting', 'oai', 'pmh', 'however', 'protocol', 'ha', 'two', 'significant', 'drawback', 'doe', 'make', 'resource', 'accessible', 'via', 'dereferencable', 'uris', 'provides', 'restricted', 'mean', 'selective', 'access', 'metadata', 'oai2lod', 'server', 'handle', 'shortcoming', 'republishing', 'metadata', 'originating', 'oai', 'pmh', 'endpoint', 'according', 'principle', 'linked', 'data', 'ongoing', 'oai', 'ore', 'specification', 'process', 'show', 'principle', 'gaining', 'growing', 'importance', 'also', 'digital', 'library', 'domain']",the oai2lod server: exposing oai-pmh metadata as linked data,2,64
3,2008,A Case Study on Linked Data Generation and Consumption,http://events.linkeddata.org/ldow2008/papers/04-li-zhao-linked-data-generation.pdf,Jianqiang LI,NEC Laboratories, China,Yu ZHAO,NEC Laboratories, China,,,,,,,,,,,,,,,,"The availability of large amounts of interlinked semantic data is a
fundamental prerequisite of the Semantic Web. At present, almost
all the usable ontological data is built manually or by directly
transforming certain (semi-)structured data sources into certain
formats of semantic data. To solve the âisolated data islandâ
problem of the Semantic Web caused by this situation, the
Linking Open Data initiative was launched to unite these machine
readable datasets as a Web of Data. In this paper, an alternative
method to make a contribution to this trend is proposed. By
extracting the linked data from the existing Web of Documents in
an automatic way, the inherent statements implied by the
hyperlinks can be made available on the Web. This realizes the
maximized reuse of the current Web (In most cases, the current
Web is rendered as Web of Documents) and provides a bridge
between the Web of Documents and the Web of Data. An
experimental study utilizing the resultant linked data for Small
Web search is introduced, in which the ontological information
about the webpages serves as the metadata and this provides the
potential to enhance the web search quality. The results of this
study show that, compared with the existing solutions, the
precision of Small Web search is significantly improved.","Linked Data, Semantic Web, Ontology, Metadata, Web Mining",H.3.3 [Information Storage and Retrieval]: Information Search and Retrieval,"['availability', 'large', 'amount', 'interlinked', 'semantic', 'data', 'fundamental', 'prerequisite', 'semantic', 'web', 'present', 'almost', 'usable', 'ontological', 'data', 'built', 'manually', 'directly', 'transforming', 'certain', 'semi', 'structured', 'data', 'source', 'certain', 'format', 'semantic', 'data', 'solve', 'isolated', 'data', 'islandâ', 'problem', 'semantic', 'web', 'caused', 'situation', 'linking', 'open', 'data', 'initiative', 'wa', 'launched', 'unite', 'machine', 'readable', 'datasets', 'web', 'data', 'paper', 'alternative', 'method', 'make', 'contribution', 'trend', 'proposed', 'extracting', 'linked', 'data', 'existing', 'web', 'document', 'automatic', 'way', 'inherent', 'statement', 'implied', 'hyperlink', 'made', 'available', 'web', 'realizes', 'maximized', 'reuse', 'current', 'web', 'case', 'current', 'web', 'rendered', 'web', 'document', 'provides', 'bridge', 'web', 'document', 'web', 'data', 'experimental', 'study', 'utilizing', 'resultant', 'linked', 'data', 'small', 'web', 'search', 'introduced', 'ontological', 'information', 'webpage', 'serf', 'metadata', 'provides', 'potential', 'enhance', 'web', 'search', 'quality', 'result', 'study', 'show', 'compared', 'existing', 'solution', 'precision', 'small', 'web', 'search', 'significantly', 'improved']",a case study on linked data generation and consumption,2,6
4,2008,"SparqPlug: Generating Linked Data from Legacy HTML, SPARQL and the DOM",http://events.linkeddata.org/ldow2008/papers/05-coetzee-heath-sparqplug.pdf,Peter Coetzee,Imperial College London, United Kingdom,Tom Heath,Knights Court, United Kingdom,Enrico Motta,The Open University, United Kingdom,,,,,,,,,,,,,"The availability of linked RDF data remains a significant barrier to
the realisation of a Semantic Web. In this paper we present SparqPlug, an approach that uses the SPARQL query language and the
HTML Document Object Model to convert legacy HTML data sets
into RDF. This framework improves upon existing approaches in
a number of ways. For example, it allows the DOM to be queried
using the full flexibility of SPARQL and makes converted data automatically available in the Semantic Web. We outline the process
of batch conversion to RDF using SparqPlug and illustrate this with
a case study. The paper concludes with an examination of factors
affecting SparqPlugâs performance across various forms of HTML
data.","RDF, SPARQL, DOM, HTML, Conversion, Linked Data, Semantic Web, Data Mining",H.3.1 [Information Storage And Retrieval]: Content Analysis and Indexing,"['availability', 'linked', 'rdf', 'data', 'remains', 'significant', 'barrier', 'realisation', 'semantic', 'web', 'paper', 'present', 'sparqplug', 'approach', 'us', 'sparql', 'query', 'language', 'html', 'document', 'object', 'model', 'convert', 'legacy', 'html', 'data', 'set', 'rdf', 'framework', 'improves', 'upon', 'existing', 'approach', 'number', 'way', 'example', 'allows', 'dom', 'queried', 'using', 'full', 'flexibility', 'sparql', 'make', 'converted', 'data', 'automatically', 'available', 'semantic', 'web', 'outline', 'process', 'batch', 'conversion', 'rdf', 'using', 'sparqplug', 'illustrate', 'case', 'study', 'paper', 'concludes', 'examination', 'factor', 'affecting', 'sparqplugâ', 'performance', 'across', 'various', 'form', 'html', 'data']","sparqplug: generating linked data from legacy html, sparql and the dom",3,29
5,2008,Building Linked Data For Both Humans and Machines,http://events.linkeddata.org/ldow2008/papers/06-halb-raimond-building-linked-data.pdf,Wolfgang Halb,Institute of Information Systems & Information Management, Austria,Yves Raimond,Centre for Digital Music, United Kingdom,Michael Hausenblas,Institute of Information Systems & Information Management, Austria,,,,,,,,,,,,,"In this paper we describe our experience with building the
riese dataset, an interlinked, RDF-based version of the Eurostat data, containing statistical data about the European
Union. The riese dataset (http://riese.joanneum.at), aims
at serving roughly 3 billion RDF triples, along with millions of high-quality interlinks. Our contribution is twofold:
Firstly, we suggest using RDFa as the main deployment
mechanism, hence serving both humans and machines to
effectively and efficiently explore and use the dataset. Secondly, we introduce a new way of enriching the dataset
with high-quality links: the User Contributed Interlinking,
a Wiki-style way of adding semantic links to data pages.","Linked data, Semantic Web, XHTML+RDFa, User Contributed Interlinking",H.4 [Information Systems Applications]: Miscellaneous ,"['paper', 'describe', 'experience', 'building', 'riese', 'dataset', 'interlinked', 'rdf', 'based', 'version', 'eurostat', 'data', 'containing', 'statistical', 'data', 'european', 'union', 'riese', 'dataset', 'http', 'riese', 'joanneum', 'aim', 'serving', 'roughly', 'billion', 'rdf', 'triple', 'along', 'million', 'high', 'quality', 'interlinks', 'contribution', 'twofold', 'firstly', 'suggest', 'using', 'rdfa', 'main', 'deployment', 'mechanism', 'hence', 'serving', 'human', 'machine', 'effectively', 'efficiently', 'explore', 'use', 'dataset', 'secondly', 'introduce', 'new', 'way', 'enriching', 'dataset', 'high', 'quality', 'link', 'user', 'contributed', 'interlinking', 'wiki', 'style', 'way', 'adding', 'semantic', 'link', 'data', 'page']",building linked data for both humans and machines,3,53
6,2008,Provenance and Linked Data in Biological Data Webs,http://events.linkeddata.org/ldow2008/papers/07-zhao-klyne-provenance-linked-data.pdf,Jun Zhao,Provenance and Linked Data in Biological Data Webs, United Kingdom,Graham Klyne,Provenance and Linked Data in Biological Data Webs, United Kingdom,David Shotton,Provenance and Linked Data in Biological Data Webs, United Kingdom,,,,,,,,,,,,,"To created a linked data web of heterogeneous biological
data resources, we need not only to define and create the
alignment between related data resources but also to express the knowledge about why data items from different
sources are linked with each other and how each data link
has evolved, so that scientists can trust the data links provided by the data web. This paper highlights the importance
of keeping provenance information about the links between
data items from different sources, and proposes the use of
named graphs to make a provenance statement about each
pair of linked data items and each release of a data web.
","Data Web, Named Graphs, Provenance, RDF, Semantic Web, Trust",D.2.12 [Software Engineering]: InteroperabilityâData mapping; H.3.5 [Information Storage And Retrieval]: Online Information Services,"['created', 'linked', 'data', 'web', 'heterogeneous', 'biological', 'data', 'resource', 'need', 'define', 'create', 'alignment', 'related', 'data', 'resource', 'also', 'express', 'knowledge', 'data', 'item', 'different', 'source', 'linked', 'data', 'link', 'ha', 'evolved', 'scientist', 'trust', 'data', 'link', 'provided', 'data', 'web', 'paper', 'highlight', 'importance', 'keeping', 'provenance', 'information', 'link', 'data', 'item', 'different', 'source', 'proposes', 'use', 'named', 'graph', 'make', 'provenance', 'statement', 'pair', 'linked', 'data', 'item', 'release', 'data', 'web']",provenance and linked data in biological data webs,3,23
7,2008,"OPEN DATA COMMONS, A LICENSE FOR OPEN DATA",http://events.linkeddata.org/ldow2008/papers/08-miller-styles-open-data-commons.pdf,Paul Miller,Knights Court, United Kingdom,Rob Styles,Knights Court, United Kingdom,Tom Heath,Knights Court, United Kingdom,,,,,,,,,,,,,"Attendees at the WWW2007 panel session on Open Data [1, 2]
will remember a wide-ranging discussion of the role that easily
accessible data could play in endeavors from scholarly publishing
[3] to the creation of canonical product catalogs [4]. The authors
argued there and subsequently [5] that an effective and flexible
licensing framework is needed in moving forward.
Paradoxically, we argue that you need to actively and consciously
assert your desire that third parties be able to use data you place
online in order for those âvisibleâ and âaccessibleâ data sets to be
utilized most effectively.
Significant progress has been made in the past twelve months,
with engagement [6] from Creative Commons [7, 8, 9] and others
[10] resulting in a license [11] and notion of âcommunity
normsâ [12] upon which all can build.","Open Data, Linked Open Data, Licensing, License, Creative Commons, Science Commons, Open Data Commons.","E.m [Data, Miscellaneous]","['attendee', 'www2007', 'panel', 'session', 'open', 'data', 'remember', 'wide', 'ranging', 'discussion', 'role', 'easily', 'accessible', 'data', 'could', 'play', 'endeavor', 'scholarly', 'publishing', 'creation', 'canonical', 'product', 'catalog', 'author', 'argued', 'subsequently', 'effective', 'flexible', 'licensing', 'framework', 'needed', 'moving', 'forward', 'paradoxically', 'argue', 'need', 'actively', 'consciously', 'assert', 'desire', 'third', 'party', 'able', 'use', 'data', 'place', 'online', 'order', 'visibleâ', 'accessibleâ', 'data', 'set', 'utilized', 'effectively', 'significant', 'progress', 'ha', 'made', 'past', 'twelve', 'month', 'engagement', 'creative', 'common', 'others', 'resulting', 'license', 'notion', 'community', 'normsâ', 'upon', 'build']","open data commons, a license for open data",3,114
8,2008,Browser-based Semantic Mapping Tool for Linked Data in Semantic Web,http://events.linkeddata.org/ldow2008/papers/09-zhou-xu-mapping-tool.pdf,Chunying Zhou,College of Computer Science, China,Chengli Xu,College of Computer Science, China,Huajun Chen,College of Computer Science, China,Kingsley Idehen,OpenLink Software Inc, US,,,,,,,,,,"With the ever growing need of semantically linking data across
different domain, organizational and diplomacy boundaries using
RDF and OWL, one of the major obstacles impeding the
advancement of Semantic Web is the data availability. This paper
presents a browser-based semantic mapping tool for converting
linked data on the Web to be available for Semantic Web
applications. It is aiming at helping users define semantic
mapping from relational databases to RDF schemas. This tool
provides much easy-to-use functionality to facilitate users in this
definition work, such as drag-and-drop mapping, visualization
mapping, data source annotation, database server independent,
standard mapping language and shared ontology management. ","Ontology, Semantic Mapping, Relational Database, RDF, Linked Data, Semantic Web.",H.4.m [Information Systems Applications]: Miscellaneous,"['ever', 'growing', 'need', 'semantically', 'linking', 'data', 'across', 'different', 'domain', 'organizational', 'diplomacy', 'boundary', 'using', 'rdf', 'owl', 'one', 'major', 'obstacle', 'impeding', 'advancement', 'semantic', 'web', 'data', 'availability', 'paper', 'present', 'browser', 'based', 'semantic', 'mapping', 'tool', 'converting', 'linked', 'data', 'web', 'available', 'semantic', 'web', 'application', 'aiming', 'helping', 'user', 'define', 'semantic', 'mapping', 'relational', 'database', 'rdf', 'schema', 'tool', 'provides', 'much', 'easy', 'use', 'functionality', 'facilitate', 'user', 'definition', 'work', 'drag', 'drop', 'mapping', 'visualization', 'mapping', 'data', 'source', 'annotation', 'database', 'server', 'independent', 'standard', 'mapping', 'language', 'shared', 'ontology', 'management']",browser-based semantic mapping tool for linked data in semantic web,4,3
9,2008,:me owl:sameAs flickr:33669349@N00,http://events.linkeddata.org/ldow2008/papers/10-passant-me-owl-same-as.pdf,Alexandre Passant,Universit Paris, France,,,,,,,,,,,,,,,,,,,"In order to release the Social Semantic Web and solve dataportability issues, there is a need from Web 2.0 providers
to open their content and deliver it in a machine-readable
way. Modeling it with vocabularies such as FOAF, SIOC,
as well as reusing data from the Linked Data initiative like
DBpedia or GeoNames can help to achieve this task. The
goal of this demo is to showcase an RDF exporter for Flickr
profiles that acts such a way.
","Web 2.0, Linked Data, Social Networks, Data Portability, Flickr, FOAF, SIOC",,"['order', 'release', 'social', 'semantic', 'web', 'solve', 'dataportability', 'issue', 'need', 'web', 'provider', 'open', 'content', 'deliver', 'machine', 'readable', 'way', 'modeling', 'vocabulary', 'foaf', 'sioc', 'well', 'reusing', 'data', 'linked', 'data', 'initiative', 'like', 'dbpedia', 'geonames', 'help', 'achieve', 'task', 'goal', 'demo', 'showcase', 'rdf', 'exporter', 'flickr', 'profile', 'act', 'way']",:me owl:sameas flickr:33669349@n00,1,21
